kind,precinct,name,room,address,city,zip,bus,extended,note
ed,418,St Edwards University,UFCU Alumni Gym,3001 S Congress Ave,Austin,78704,Yes,0,
ed,307,St Marks Episcopal Church,Parish Hall,2128 Barton Hills Dr,Austin,78704,No,0,
ed,413,Travis County Services For The Deaf and Hard of Hearing,Lobby,2201 Post Rd,Austin,78704,Yes,0,
ed,410,Twin Oaks Branch Library,Meeting Room,1800 S 5th St,Austin,78704,Yes,0,
ed,306,Zilker Elementary School,Office Hallway,1900 Bluebonnet Ln,Austin,78704,No,0,
ed,418,Travis Early College High School,Cafeteria,1211 E Oltorf St,Austin,78704,Yes,0,
ed,315,Austin Presbyterian Theological Seminary,Room 211,100 E 27th St,Austin,78705,Yes,0,
ed,314,Lamar Senior Activity Center,MPR,2874 Shoal Crest Ave,Austin,78705,Yes,0,
ed,311,University Presbyterian Church,Fellowship Hall,2203 San Antonio St,Austin,78705,Yes,0,
ed,110,Alternative Learning Center at Sims Elementary School,Cafeteria,1203 Springdale Rd,Austin,78721,Yes,0,
ed,110,Greater Mt Zion Baptist Church,Assembly Room,4301 Tannehill Ln,Austin,78721,Yes,0,
ed,405,Liberal Arts and Science Academy,Lobby of Performing Arts Center,1012 Arthur Stiles Rd,Austin,78721,Yes,0,
ed,104,Genesis Presbyterian Church,Fellowship Hall,1507 Wilshire Blvd,Austin,78722,Yes,0,
ed,103,Campbell Elementary School,Entrance Hallway,2613 Rogers Ave,Austin,78722,No,0,
ed,112,East Nineteenth St Baptist Church,Fellowship Hall,3401 Rogge Ln,Austin,78723,No,0,
ed,106,General Marshall Middle School,Community Room,4401 Tilley St,Austin,78723,No,0,
ed,113,Harris Elementary School,Community Room,6105 Berkman Dr,Austin,78723,Yes,0,
ed,116,Hope Lutheran Church,Parish Hall,6414 N Hampton Dr,Austin,78723,Yes,0,
ed,111,Region 13 Education Service Center,Canyon of the Eagles Room,5701 Springdale Rd,Austin,78723,No,0,
ed,114,Sawyer Hall Event Center,Event Center,1320 E 51st St,Austin,78723,Yes,0,
